2025-10-20 02:00:17,726 - INFO - ================================================================================
2025-10-20 02:00:17,726 - INFO - 3I/ATLAS Trajectory Data Generator
2025-10-20 02:00:17,726 - INFO - ================================================================================
2025-10-20 02:00:17,726 - INFO - Starting trajectory data generation from 2025-07-01 to 2026-01-31
2025-10-20 02:00:17,726 - INFO - Processing atlas...
2025-10-20 02:00:17,726 - INFO - Fetching data for object 1004083 (attempt 1/3)
2025-10-20 02:00:17,877 - ERROR - Error fetching data for object 1004083: Could not find data section in Horizons result
2025-10-20 02:00:17,877 - INFO - Retrying in 2 seconds...
2025-10-20 02:00:19,877 - INFO - Fetching data for object 1004083 (attempt 2/3)
2025-10-20 02:00:20,028 - ERROR - Error fetching data for object 1004083: Could not find data section in Horizons result
2025-10-20 02:00:20,029 - INFO - Retrying in 4 seconds...
2025-10-20 02:00:24,029 - INFO - Fetching data for object 1004083 (attempt 3/3)
2025-10-20 02:00:24,180 - ERROR - Error fetching data for object 1004083: Could not find data section in Horizons result
2025-10-20 02:00:24,180 - ERROR - Failed to fetch data after 3 attempts
2025-10-20 02:00:24,180 - WARNING - API failed, using Kepler fallback for ATLAS
2025-10-20 02:00:24,180 - INFO - Using Kepler fallback trajectory generator
2025-10-20 02:00:24,796 - INFO - Generated 857 fallback data points
2025-10-20 02:00:25,301 - WARNING - Error parsing line: VX= 1.651951001024825E-02 VY= 3.641144975757227E-03 VZ= 1.536388053523423E-07, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,301 - WARNING - Error parsing line: 2460861.250000000 = A.D. 2025-Jul-04 18:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,301 - WARNING - Error parsing line: VX= 1.650365480865415E-02 VY= 3.710813764626739E-03 VZ= 1.274777486629297E-07, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,301 - WARNING - Error parsing line: 2460861.500000000 = A.D. 2025-Jul-05 00:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,301 - WARNING - Error parsing line: VX= 1.648752001153348E-02 VY= 3.780401595230625E-03 VZ= 1.000863124183336E-07, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,301 - WARNING - Error parsing line: 2460861.750000000 = A.D. 2025-Jul-05 06:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,301 - WARNING - Error parsing line: VX= 1.647110657963680E-02 VY= 3.849907801897436E-03 VZ= 7.151961745742236E-08, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,301 - WARNING - Error parsing line: 2460862.000000000 = A.D. 2025-Jul-05 12:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,301 - WARNING - Error parsing line: VX= 1.645441546703704E-02 VY= 3.919331739236593E-03 VZ= 4.183443585136239E-08, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,301 - WARNING - Error parsing line: 2460862.250000000 = A.D. 2025-Jul-05 18:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.643744762164212E-02 VY= 3.988672783777673E-03 VZ= 1.108933728384078E-08, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460862.500000000 = A.D. 2025-Jul-06 00:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.642020398537028E-02 VY= 4.057930335753672E-03 VZ=-2.065515697322444E-08, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460862.750000000 = A.D. 2025-Jul-06 06:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.640268549397441E-02 VY= 4.127103820988752E-03 VZ=-5.333641620979900E-08, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460863.000000000 = A.D. 2025-Jul-06 12:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.638489307650407E-02 VY= 4.196192692849840E-03 VZ=-8.688954230755635E-08, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460863.250000000 = A.D. 2025-Jul-06 18:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.636682765439761E-02 VY= 4.265196434220243E-03 VZ=-1.212472155171746E-07, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460863.500000000 = A.D. 2025-Jul-07 00:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.634849014019929E-02 VY= 4.334114559452144E-03 VZ=-1.563395478570252E-07, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460863.750000000 = A.D. 2025-Jul-07 06:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.632988143590092E-02 VY= 4.402946616253775E-03 VZ=-1.920939480982235E-07, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460864.000000000 = A.D. 2025-Jul-07 12:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.631100243091092E-02 VY= 4.471692187465962E-03 VZ=-2.284350023164016E-07, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460864.250000000 = A.D. 2025-Jul-07 18:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.629185399965855E-02 VY= 4.540350892682059E-03 VZ=-2.652843739808145E-07, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460864.500000000 = A.D. 2025-Jul-08 00:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.627243699884598E-02 VY= 4.608922389664915E-03 VZ=-3.025607275195913E-07, error: could not convert string to float: 'VX='
2025-10-20 02:00:25,302 - WARNING - Error parsing line: 2460864.750000000 = A.D. 2025-Jul-08 06:00:00.0000 TDB, error: could not convert string to float: 'X'
2025-10-20 02:00:25,302 - WARNING - Error parsing line: VX= 1.625275226436493E-02 VY= 4.677406375502340E-03 VZ=-3.401796784181496E-07, error: could not convert string to float: 'VX='
